video_title,like_count,dislike_count,comment_count,total
Shows,1082639.0,24508.0,95117.0,1202264.0
Education,4.9257772E7,1351972.0,5442242.0,5.6051986E7
Gaming,6.9038284E7,9184466.0,1.4740713E7,9.2963463E7
Entertainment,5.30516491E8,4.2987663E7,7.3566498E7,6.47070652E8
Travel & Events,4836246.0,340427.0,911511.0,6088184.0
Science & Technology,8.2532638E7,4548402.0,1.1989926E7,9.9070966E7
Sports,9.8621211E7,5133551.0,1.1192155E7,1.14946917E8
Howto & Style,1.62880075E8,5473899.0,2.314955E7,1.91503524E8
Nonprofits & Activism,1.4815646E7,3310381.0,4808797.0,2.2934824E7
Film & Animation,1.65997476E8,6075148.0,1.788706E7,1.89959684E8
People & Blogs,1.86615999E8,1.0187901E7,2.4778032E7,2.21581932E8
News & Politics,1.8151033E7,4180049.0,6039433.0,2.8370515E7
Pets & Animals,1.9370702E7,527379.0,2660705.0,2.2558786E7
Autos & Vehicles,4245656.0,243010.0,784447.0,5273113.0
Music,1.416838584E9,5.1179008E7,1.25296396E8,1.593313988E9
Comedy,2.16346746E8,7230391.0,2.2545582E7,2.46122719E8
